EC	Name
EC:1.1.1.53	3-alpha(or 20-beta)-hydroxysteroid dehydrogenase
EC:1.1.1.54	Allyl-alcohol dehydrogenase
EC:1.1.1.55	Lactaldehyde reductase (NADPH)
EC:1.1.1.56	Ribitol 2-dehydrogenase
EC:1.1.1.57	Fructuronate reductase
EC:1.1.1.58	Tagaturonate reductase
EC:1.1.1.59	3-hydroxypropionate dehydrogenase
EC:1.1.1.60	2-hydroxy-3-oxopropionate reductase
EC:1.1.1.61	4-hydroxybutyrate dehydrogenase
EC:1.1.1.62	17-beta-estradiol 17-dehydrogenase
EC:1.1.1.63	Transferred entry: 1.1.1.239
EC:1.1.1.64	Testosterone 17-beta-dehydrogenase (NADP(+))
EC:1.1.1.65	Pyridoxine 4-dehydrogenase
EC:1.1.1.66	Omega-hydroxydecanoate dehydrogenase
EC:1.1.1.67	Mannitol 2-dehydrogenase
EC:1.1.1.68	Transferred entry: 1.5.1.20
EC:1.1.1.69	Gluconate 5-dehydrogenase
EC:1.1.1.70	Transferred entry: 1.2.1.3
EC:1.1.1.71	Alcohol dehydrogenase (NAD(P)(+))
EC:1.1.1.72	Glycerol dehydrogenase (NADP(+))
EC:1.1.1.73	Octanol dehydrogenase
EC:1.1.1.74	Deleted entry
EC:1.1.1.75	(R)-aminopropanol dehydrogenase
EC:1.1.1.76	(S,S)-butanediol dehydrogenase
EC:1.1.1.77	Lactaldehyde reductase
EC:1.1.1.78	Methylglyoxal reductase (NADH)
EC:1.1.1.79	Glyoxylate reductase (NADP(+))
EC:1.1.1.80	Isopropanol dehydrogenase (NADP(+))
EC:1.1.1.81	Hydroxypyruvate reductase
EC:1.1.1.82	Malate dehydrogenase (NADP(+))
EC:1.1.1.83	D-malate dehydrogenase (decarboxylating)
EC:1.1.1.84	Dimethylmalate dehydrogenase
EC:1.1.1.85	3-isopropylmalate dehydrogenase
EC:1.1.1.86	Ketol-acid reductoisomerase (NADP(+))
EC:1.1.1.87	Homoisocitrate dehydrogenase
EC:1.1.1.88	Hydroxymethylglutaryl-CoA reductase
EC:1.1.1.89	Transferred entry: 1.1.1.86
EC:1.1.1.90	Aryl-alcohol dehydrogenase
EC:1.1.1.91	Aryl-alcohol dehydrogenase (NADP(+))
EC:1.1.1.92	Oxaloglycolate reductase (decarboxylating)
EC:1.1.1.93	Tartrate dehydrogenase
EC:1.1.1.94	Glycerol-3-phosphate dehydrogenase (NAD(P)(+))
EC:1.1.1.95	Phosphoglycerate dehydrogenase
EC:1.1.1.96	Diiodophenylpyruvate reductase
EC:1.1.1.97	3-hydroxybenzyl-alcohol dehydrogenase
EC:1.1.1.98	(R)-2-hydroxy-fatty-acid dehydrogenase
EC:1.1.1.99	(S)-2-hydroxy-fatty-acid dehydrogenase
EC:1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase
EC:1.1.1.101	Acylglycerone-phosphate reductase
EC:1.1.1.102	3-dehydrosphinganine reductase
EC:1.1.1.103	L-threonine 3-dehydrogenase
EC:1.1.1.104	4-oxoproline reductase
EC:1.1.1.105	All-trans-retinol dehydrogenase (NAD(+))
EC:1.1.1.106	Pantoate 4-dehydrogenase
EC:1.1.1.107	Pyridoxal 4-dehydrogenase
EC:1.1.1.108	Carnitine 3-dehydrogenase
EC:1.1.1.109	Transferred entry: 1.3.1.28
EC:1.1.1.110	Aromatic 2-oxoacid reductase
EC:1.1.1.111	3-(imidazol-5-yl)lactate dehydrogenase
EC:1.1.1.112	Indanol dehydrogenase
EC:1.1.1.113	L-xylose 1-dehydrogenase
EC:1.1.1.114	Apiose 1-reductase
EC:1.1.1.115	Ribose 1-dehydrogenase (NADP(+))
EC:1.1.1.116	D-arabinose 1-dehydrogenase (NAD(+))
EC:1.1.1.117	D-arabinose 1-dehydrogenase (NAD(P)(+))
EC:1.1.1.118	Glucose 1-dehydrogenase (NAD(+))
EC:1.1.1.119	Glucose 1-dehydrogenase (NADP(+))
EC:1.1.1.120	Galactose 1-dehydrogenase (NADP(+))
EC:1.1.1.121	Aldose 1-dehydrogenase (NAD(+))
EC:1.1.1.122	D-threo-aldose 1-dehydrogenase
EC:1.1.1.123	Sorbose 5-dehydrogenase (NADP(+))
EC:1.1.1.124	Fructose 5-dehydrogenase (NADP(+))
EC:1.1.1.125	2-deoxy-D-gluconate 3-dehydrogenase
EC:1.1.1.126	2-dehydro-3-deoxy-D-gluconate 6-dehydrogenase
EC:1.1.1.127	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
EC:1.1.1.128	Deleted entry
EC:1.1.1.129	L-threonate 3-dehydrogenase
EC:1.1.1.130	3-dehydro-L-gulonate 2-dehydrogenase
EC:1.1.1.131	Mannuronate reductase
EC:1.1.1.132	GDP-mannose 6-dehydrogenase
EC:1.1.1.133	dTDP-4-dehydrorhamnose reductase
EC:1.1.1.134	dTDP-6-deoxy-L-talose 4-dehydrogenase
EC:1.1.1.135	GDP-6-deoxy-D-talose 4-dehydrogenase
EC:1.1.1.136	UDP-N-acetylglucosamine 6-dehydrogenase
EC:1.1.1.137	Ribitol-5-phosphate 2-dehydrogenase
EC:1.1.1.138	Mannitol 2-dehydrogenase (NADP(+))
EC:1.1.1.139	Transferred entry: 1.1.1.21
EC:1.1.1.140	Sorbitol-6-phosphate 2-dehydrogenase
EC:1.1.1.141	15-hydroxyprostaglandin dehydrogenase (NAD(+))
EC:1.1.1.142	D-pinitol dehydrogenase
EC:1.1.1.143	Sequoyitol dehydrogenase
EC:1.1.1.144	Perillyl-alcohol dehydrogenase
EC:1.1.1.145	3-beta-hydroxy-Delta(5)-steroid dehydrogenase
EC:1.1.1.146	11-beta-hydroxysteroid dehydrogenase
EC:1.1.1.147	16-alpha-hydroxysteroid dehydrogenase
EC:1.1.1.148	Estradiol 17-alpha-dehydrogenase
EC:1.1.1.149	20-alpha-hydroxysteroid dehydrogenase
EC:1.1.1.150	21-hydroxysteroid dehydrogenase (NAD(+))
EC:1.1.1.151	21-hydroxysteroid dehydrogenase (NADP(+))
EC:1.1.1.152	3-alpha-hydroxy-5-beta-androstane-17-one 3-alpha-dehydrogenase
EC:1.1.1.153	Sepiapterin reductase (L-erythro-7,8-dihydrobiopterin forming)
EC:1.1.1.154	Ureidoglycolate dehydrogenase
EC:1.1.1.155	Transferred entry: 1.1.1.87
EC:1.1.1.156	Glycerol 2-dehydrogenase (NADP(+))
EC:1.1.1.157	3-hydroxybutyryl-CoA dehydrogenase
EC:1.1.1.158	Transferred entry: 1.3.1.98
EC:1.1.1.159	7-alpha-hydroxysteroid dehydrogenase
EC:1.1.1.160	Dihydrobunolol dehydrogenase
EC:1.1.1.161	Deleted entry
EC:1.1.1.162	Erythrulose reductase
EC:1.1.1.163	Cyclopentanol dehydrogenase
EC:1.1.1.164	Hexadecanol dehydrogenase
EC:1.1.1.165	2-alkyn-1-ol dehydrogenase
EC:1.1.1.166	Hydroxycyclohexanecarboxylate dehydrogenase
EC:1.1.1.167	Hydroxymalonate dehydrogenase
EC:1.1.1.168	2-dehydropantolactone reductase (Re-specific)
EC:1.1.1.169	2-dehydropantoate 2-reductase
EC:1.1.1.170	3-beta-hydroxysteroid-4-alpha-carboxylate 3-dehydrogenase|(decarboxylating)
EC:1.1.1.171	Transferred entry: 1.5.1.20
EC:1.1.1.172	2-oxoadipate reductase
EC:1.1.1.173	L-rhamnose 1-dehydrogenase
EC:1.1.1.174	Cyclohexane-1,2-diol dehydrogenase
EC:1.1.1.175	D-xylose 1-dehydrogenase
EC:1.1.1.176	12-alpha-hydroxysteroid dehydrogenase
EC:1.1.1.177	Glycerol-3-phosphate 1-dehydrogenase (NADP(+))
EC:1.1.1.178	3-hydroxy-2-methylbutyryl-CoA dehydrogenase
EC:1.1.1.179	D-xylose 1-dehydrogenase (NADP(+))
EC:1.1.1.180	Transferred entry: 1.1.1.131
EC:1.1.1.181	Cholest-5-ene-3-beta,7-alpha-diol 3-beta-dehydrogenase
EC:1.1.1.182	Transferred entry: 1.1.1.198, 1.1.1.227 and 1.1.1.228
EC:1.1.1.183	Geraniol dehydrogenase (NADP(+))
EC:1.1.1.184	Carbonyl reductase (NADPH)
EC:1.1.1.185	L-glycol dehydrogenase
EC:1.1.1.186	dTDP-galactose 6-dehydrogenase
EC:1.1.1.187	GDP-4-dehydro-D-rhamnose reductase
EC:1.1.1.188	Prostaglandin-F synthase
EC:1.1.1.189	Prostaglandin-E(2) 9-reductase
EC:1.1.1.190	Indole-3-acetaldehyde reductase (NADH)
EC:1.1.1.191	Indole-3-acetaldehyde reductase (NADPH)
EC:1.1.1.192	Long-chain-alcohol dehydrogenase
EC:1.1.1.193	5-amino-6-(5-phosphoribosylamino)uracil reductase
EC:1.1.1.194	Coniferyl-alcohol dehydrogenase
EC:1.1.1.195	Cinnamyl-alcohol dehydrogenase
EC:1.1.1.196	15-hydroxyprostaglandin-D dehydrogenase (NADP(+))
EC:1.1.1.197	15-hydroxyprostaglandin dehydrogenase (NADP(+))
EC:1.1.1.198	(+)-borneol dehydrogenase
EC:1.1.1.199	(S)-usnate reductase
EC:1.1.1.200	Aldose-6-phosphate reductase (NADPH)
EC:1.1.1.201	7-beta-hydroxysteroid dehydrogenase (NADP(+))
EC:1.1.1.202	1,3-propanediol dehydrogenase
EC:1.1.1.203	Uronate dehydrogenase
EC:1.1.1.204	Transferred entry: 1.17.1.4
EC:1.1.1.205	IMP dehydrogenase
EC:1.1.1.206	Tropinone reductase I
EC:1.1.1.207	(-)-menthol dehydrogenase
EC:1.1.1.208	(+)-neomenthol dehydrogenase
EC:1.1.1.209	3(or 17)-alpha-hydroxysteroid dehydrogenase
EC:1.1.1.210	3-beta-(or 20-alpha)-hydroxysteroid dehydrogenase
EC:1.1.1.211	Long-chain-3-hydroxyacyl-CoA dehydrogenase
EC:1.1.1.212	3-oxoacyl-[acyl-carrier-protein] reductase (NADH)
EC:1.1.1.213	3-alpha-hydroxysteroid dehydrogenase (Re-specific)
EC:1.1.1.214	2-dehydropantolactone reductase (Si-specific)
EC:1.1.1.215	Gluconate 2-dehydrogenase
EC:1.1.1.216	Farnesol dehydrogenase
EC:1.1.1.217	Benzyl-2-methyl-hydroxybutyrate dehydrogenase
EC:1.1.1.218	Morphine 6-dehydrogenase
EC:1.1.1.219	Dihydroflavanol 4-reductase
EC:1.1.1.220	6-pyruvoyltetrahydropterin 2'-reductase
EC:1.1.1.221	Vomifoliol dehydrogenase
EC:1.1.1.222	(R)-4-hydroxyphenyllactate dehydrogenase
EC:1.1.1.223	Isopiperitenol dehydrogenase
EC:1.1.1.224	Mannose-6-phosphate 6-reductase
EC:1.1.1.225	Chlordecone reductase
EC:1.1.1.226	4-hydroxycyclohexanecarboxylate dehydrogenase
EC:1.1.1.227	(-)-borneol dehydrogenase
EC:1.1.1.228	(+)-sabinol dehydrogenase
EC:1.1.1.229	Diethyl 2-methyl-3-oxosuccinate reductase
EC:1.1.1.230	3-alpha-hydroxyglycyrrhetinate dehydrogenase
EC:1.1.1.231	15-hydroxyprostaglandin-I dehydrogenase (NADP(+))
EC:1.1.1.232	15-hydroxyicosatetraenoate dehydrogenase
EC:1.1.1.233	N-acylmannosamine 1-dehydrogenase
EC:1.1.1.234	Flavanone 4-reductase
EC:1.1.1.235	8-oxocoformycin reductase
EC:1.1.1.236	Tropinone reductase II
EC:1.1.1.237	Hydroxyphenylpyruvate reductase
EC:1.1.1.238	12-beta-hydroxysteroid dehydrogenase
EC:1.1.1.239	3-alpha-(17-beta)-hydroxysteroid dehydrogenase (NAD(+))
EC:1.1.1.240	N-acetylhexosamine 1-dehydrogenase
EC:1.1.1.241	6-endo-hydroxycineole dehydrogenase
EC:1.1.1.242	Transferred entry: 1.3.1.69
EC:1.1.1.243	Carveol dehydrogenase
EC:1.1.1.244	Methanol dehydrogenase
EC:1.1.1.245	Cyclohexanol dehydrogenase
EC:1.1.1.246	Transferred entry: 1.1.1.348 and 4.2.1.139
EC:1.1.1.247	Codeinone reductase (NADPH)
EC:1.1.1.248	Salutaridine reductase (NADPH)
EC:1.1.1.249	Transferred entry: 2.5.1.46
EC:1.1.1.250	D-arabinitol 2-dehydrogenase
EC:1.1.1.251	Galactitol-1-phosphate 5-dehydrogenase
EC:1.1.1.252	Tetrahydroxynaphthalene reductase
EC:1.1.1.253	Transferred entry: 1.5.1.33
EC:1.1.1.254	(S)-carnitine 3-dehydrogenase
EC:1.1.1.255	Mannitol dehydrogenase
EC:1.1.1.256	Fluoren-9-ol dehydrogenase
EC:1.1.1.257	4-(hydroxymethyl)benzenesulfonate dehydrogenase
EC:1.1.1.258	6-hydroxyhexanoate dehydrogenase
EC:1.1.1.259	3-hydroxypimeloyl-CoA dehydrogenase
EC:1.1.1.260	Sulcatone reductase
EC:1.1.1.261	sn-glycerol-1-phosphate dehydrogenase
EC:1.1.1.262	4-hydroxythreonine-4-phosphate dehydrogenase
EC:1.1.1.263	1,5-anhydro-D-fructose reductase
EC:1.1.1.264	L-idonate 5-dehydrogenase (NAD(P)(+))
EC:1.1.1.265	3-methylbutanal reductase
EC:1.1.1.266	dTDP-4-dehydro-6-deoxyglucose reductase
EC:1.1.1.267	1-deoxy-D-xylulose-5-phosphate reductoisomerase
EC:1.1.1.268	2-(R)-hydroxypropyl-CoM dehydrogenase
EC:1.1.1.269	2-(S)-hydroxypropyl-CoM dehydrogenase
EC:1.1.1.270	3-beta-hydroxysteroid 3-dehydrogenase
EC:1.1.1.271	GDP-L-fucose synthase
EC:1.1.1.272	D-2-hydroxyacid dehydrogenase (NADP(+))
EC:1.1.1.273	Vellosimine dehydrogenase
EC:1.1.1.274	2,5-didehydrogluconate reductase (2-dehydro-D-gluconate-forming)
EC:1.1.1.275	(+)-trans-carveol dehydrogenase
EC:1.1.1.276	Serine 3-dehydrogenase (NADP(+))
EC:1.1.1.277	3-beta-hydroxy-5-beta-steroid dehydrogenase
EC:1.1.1.278	3-beta-hydroxy-5-alpha-steroid dehydrogenase
EC:1.1.1.279	(R)-3-hydroxyacid-ester dehydrogenase
EC:1.1.1.280	(S)-3-hydroxyacid-ester dehydrogenase
EC:1.1.1.281	GDP-4-dehydro-6-deoxy-D-mannose reductase
EC:1.1.1.282	Quinate/shikimate dehydrogenase
EC:1.1.1.283	Methylglyoxal reductase (NADPH)
EC:1.1.1.284	S-(hydroxymethyl)glutathione dehydrogenase
EC:1.1.1.285	3''-deamino-3''-oxonicotianamine reductase
EC:1.1.1.286	Isocitrate--homoisocitrate dehydrogenase
EC:1.1.1.287	D-arabinitol dehydrogenase (NADP(+))
EC:1.1.1.288	Xanthoxin dehydrogenase
EC:1.1.1.289	Sorbose reductase
EC:1.1.1.290	4-phosphoerythronate dehydrogenase
EC:1.1.1.291	2-hydroxymethylglutarate dehydrogenase
EC:1.1.1.292	1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming)
EC:1.1.1.293	Deleted entry
EC:1.1.1.294	Chlorophyll(ide) b reductase
EC:1.1.1.295	Momilactone-A synthase
EC:1.1.1.296	Dihydrocarveol dehydrogenase
EC:1.1.1.297	Limonene-1,2-diol dehydrogenase
EC:1.1.1.298	3-hydroxypropionate dehydrogenase (NADP(+))
EC:1.1.1.299	Malate dehydrogenase (NAD(P)(+))
EC:1.1.1.300	NADP-retinol dehydrogenase
EC:1.1.1.301	D-arabitol-phosphate dehydrogenase
EC:1.1.1.302	2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase
EC:1.1.1.303	Diacetyl reductase ((R)-acetoin forming)
EC:1.1.1.304	Diacetyl reductase ((S)-acetoin forming)
EC:1.1.1.305	UDP-glucuronic acid oxidase (UDP-4-keto-hexauronic acid decarboxylating)
EC:1.1.1.306	S-(hydroxymethyl)mycothiol dehydrogenase
EC:1.1.1.307	D-xylose reductase
EC:1.1.1.308	Sulfopropanediol 3-dehydrogenase
EC:1.1.1.309	Phosphonoacetaldehyde reductase (NADH)
EC:1.1.1.310	(S)-sulfolactate dehydrogenase
EC:1.1.1.311	(S)-1-phenylethanol dehydrogenase
EC:1.1.1.312	2-hydroxy-4-carboxymuconate semialdehyde hemiacetal dehydrogenase
EC:1.1.1.313	Sulfoacetaldehyde reductase
EC:1.1.1.314	Germacrene A alcohol dehydrogenase
EC:1.1.1.315	11-cis-retinol dehydrogenase
EC:1.1.1.316	L-galactose 1-dehydrogenase
EC:1.1.1.317	Perakine reductase
EC:1.1.1.318	Eugenol synthase
EC:1.1.1.319	Isoeugenol synthase
EC:1.1.1.320	Benzil reductase ((S)-benzoin forming)
EC:1.1.1.321	Benzil reductase ((R)-benzoin forming)
EC:1.1.1.322	(-)-endo-fenchol dehydrogenase
EC:1.1.1.323	(+)-thujan-3-ol dehydrogenase
EC:1.1.1.324	8-hydroxygeraniol dehydrogenase
EC:1.1.1.325	Sepiapterin reductase (L-threo-7,8-dihydrobiopterin forming)
EC:1.1.1.326	Zerumbone synthase
EC:1.1.1.327	5-exo-hydroxycamphor dehydrogenase
EC:1.1.1.328	Nicotine blue oxidoreductase
EC:1.1.1.329	2-deoxy-scyllo-inosamine dehydrogenase
EC:1.1.1.330	Very-long-chain 3-oxoacyl-CoA reductase
EC:1.1.1.331	Secoisolariciresinol dehydrogenase
EC:1.1.1.332	Chanoclavine-I dehydrogenase
EC:1.1.1.333	Decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose 2-reductase
EC:1.1.1.334	Methylecgonone reductase
EC:1.1.1.335	UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase
EC:1.1.1.336	UDP-N-acetyl-D-mannosamine dehydrogenase
EC:1.1.1.337	L-2-hydroxycarboxylate dehydrogenase (NAD(+))
EC:1.1.1.338	(2R)-3-sulfolactate dehydrogenase (NADP(+))
EC:1.1.1.339	dTDP-6-deoxy-L-talose 4-dehydrogenase (NAD(+))
EC:1.1.1.340	1-deoxy-11-beta-hydroxypentalenate dehydrogenase
EC:1.1.1.341	CDP-abequose synthase
EC:1.1.1.342	CDP-paratose synthase
EC:1.1.1.343	Phosphogluconate dehydrogenase (NAD(+)-dependent, decarboxylating)
EC:1.1.1.344	dTDP-6-deoxy-L-talose 4-dehydrogenase (NAD(P)(+))
EC:1.1.1.345	D-2-hydroxyacid dehydrogenase (NAD(+))
EC:1.1.1.346	2,5-didehydrogluconate reductase (2-dehydro-L-gulonate-forming)
EC:1.1.1.347	Geraniol dehydrogenase (NAD(+))
EC:1.1.1.348	(3R)-2'-hydroxyisoflavanone reductase
EC:1.1.1.349	Norsolorinic acid ketoreductase
EC:1.1.1.350	Ureidoglycolate dehydrogenase (NAD(+))
EC:1.1.1.351	Phosphogluconate dehydrogenase (NAD(P)(+)-dependent, decarboxylating)
EC:1.1.1.352	5'-hydroxyaverantin dehydrogenase
EC:1.1.1.353	Versiconal hemiacetal acetate reductase
EC:1.1.1.354	Farnesol dehydrogenase (NAD(+))
EC:1.1.1.355	2'-dehydrokanamycin reductase
EC:1.1.1.356	GDP-L-colitose synthase
EC:1.1.1.357	3-alpha-hydroxysteroid 3-dehydrogenase
EC:1.1.1.358	2-dehydropantolactone reductase
EC:1.1.1.359	Aldose 1-dehydrogenase (NAD(P)(+))
EC:1.1.1.360	Glucose/galactose 1-dehydrogenase
EC:1.1.1.361	Glucose-6-phosphate 3-dehydrogenase
EC:1.1.1.362	Aklaviketone reductase
EC:1.1.1.363	Glucose-6-phosphate dehydrogenase (NAD(P)(+))
EC:1.1.1.364	dTDP-4-dehydro-6-deoxy-alpha-D-gulose 4-ketoreductase
EC:1.1.1.365	D-galacturonate reductase
EC:1.1.1.366	L-idonate 5-dehydrogenase (NAD(+))
EC:1.1.1.367	UDP-2-acetamido-2,6-beta-L-arabino-hexul-4-ose reductase
EC:1.1.1.368	6-hydroxycyclohex-1-ene-1-carbonyl-CoA dehydrogenase
EC:1.1.1.369	D-chiro-inositol 1-dehydrogenase
EC:1.1.1.370	Scyllo-inositol 2-dehydrogenase (NAD(+))
EC:1.1.1.371	Scyllo-inositol 2-dehydrogenase (NADP(+))
EC:1.1.1.372	D/L-glyceraldehyde reductase
EC:1.1.1.373	Sulfolactaldehyde 3-reductase
EC:1.1.1.374	UDP-N-acetylglucosamine 3-dehydrogenase
EC:1.1.1.375	L-2-hydroxycarboxylate dehydrogenase (NAD(P)(+))
EC:1.1.1.376	L-arabinose 1-dehydrogenase (NAD(P)(+))
EC:1.1.1.377	L-rhamnose 1-dehydrogenase (NADP(+))
EC:1.1.1.378	L-rhamnose 1-dehydrogenase (NAD(P)(+))
EC:1.1.1.379	(R)-mandelate dehydrogenase
EC:1.1.1.380	L-gulonate 5-dehydrogenase
EC:1.1.1.381	3-hydroxy acid dehydrogenase
EC:1.1.1.382	Ketol-acid reductoisomerase (NAD(+))
EC:1.1.1.383	Ketol-acid reductoisomerase (NAD(P)(+))
EC:1.1.1.384	dTDP-3,4-didehydro-2,6-dideoxy-alpha-D-glucose 3-reductase
EC:1.1.1.385	Dihydroanticapsin 7-dehydrogenase
EC:1.1.1.386	Ipsdienol dehydrogenase
EC:1.1.1.387	L-serine 3-dehydrogenase (NAD(+))
EC:1.1.1.388	Glucose-6-phosphate dehydrogenase (NAD(+))
EC:1.1.1.389	2-dehydro-3-deoxy-L-galactonate 5-dehydrogenase
EC:1.1.1.390	Sulfoquinovose 1-dehydrogenase
EC:1.1.1.391	3-beta-hydroxycholanate 3-dehydrogenase (NAD(+))
EC:1.1.1.392	3-alpha-hydroxycholanate dehydrogenase (NADP(+))
EC:1.1.1.393	3-beta-hydroxycholanate 3-dehydrogenase (NADP(+))
EC:1.1.1.394	Aurachin B dehydrogenase
EC:1.1.1.395	3-alpha-hydroxybile acid CoA 3-dehydrogenase
EC:1.1.1.396	Bacteriochlorophyllide-a dehydrogenase
EC:1.1.1.397	Beta-methylindole-3-pyruvate reductase
EC:1.1.1.398	2-glutathionyl-2-methylbut-3-en-1-ol dehydrogenase
EC:1.1.1.399	2-oxoglutarate reductase
EC:1.1.1.400	2-methyl-1,2-propanediol dehydrogenase
EC:1.1.1.401	2-dehydro-3-deoxy-L-rhamnonate dehydrogenase (NAD(+))
EC:1.1.1.402	D-erythritol 1-phosphate dehydrogenase
EC:1.1.1.403	D-threitol dehydrogenase (NAD(+))
EC:1.1.1.404	Tetrachlorobenzoquinone reductase
EC:1.1.1.405	Ribitol-5-phosphate 2-dehydrogenase (NADP(+))
EC:1.1.1.406	Galactitol 2-dehydrogenase (L-tagatose-forming)
EC:1.1.1.407	D-altritol 5-dehydrogenase
EC:1.1.1.408	4-phospho-D-threonate 3-dehydrogenase
EC:1.1.1.409	4-phospho-D-erythronate 3-dehydrogenase
EC:1.1.1.410	D-erythronate 2-dehydrogenase
EC:1.1.1.411	L-threonate 2-dehydrogenase
EC:1.1.1.412	2-alkyl-3-oxoalkanoate reductase
EC:1.1.1.413	A-factor type gamma-butyrolactone 1'-reductase (1S-forming)
EC:1.1.1.414	L-galactonate 5-dehydrogenase
EC:1.1.1.415	Noscapine synthase
EC:1.1.1.416	Isopyridoxal dehydrogenase (5-pyridoxolactone-forming)
EC:1.1.1.417	3-beta-hydroxysteroid-4-beta-carboxylate 3-dehydrogenase|(decarboxylating)
EC:1.1.1.418	Plant 3-beta-hydroxysteroid-4-alpha-carboxylate 3-dehydrogenase|(decarboxylating)
EC:1.1.1.419	Nepetalactol dehydrogenase
EC:1.1.1.420	D-apiose dehydrogenase
EC:1.1.1.421	D-apionate oxidoisomerase
EC:1.1.1.422	Pseudoephedrine dehydrogenase
EC:1.1.1.423	Ephedrine dehydrogenase
EC:1.1.1.n1	Transferred entry: 1.1.1.305
EC:1.1.1.n2	Transferred entry: 1.1.1.300
EC:1.1.1.n3	Transferred entry: 1.1.1.336
EC:1.1.1.n4	(-)-trans-carveol dehydrogenase
EC:1.1.1.n5	3-methylmalate dehydrogenase
EC:1.1.1.n6	Transferred entry: 1.1.1.369
EC:1.1.1.n7	Transferred entry: 1.1.1.320
EC:1.1.1.n8	Transferred entry: 1.1.1.366
EC:1.1.1.n9	Transferred entry: 1.1.1.365
EC:1.1.1.n10	Transferred entry: 1.1.1.301
EC:1.1.1.n11	Succinic semialdehyde reductase
EC:1.1.1.n12	(3R)-hydroxyacyl-CoA dehydrogenase
EC:1.1.1.n13	Transferred entry: 1.1.1.330
EC:1.1.1.n14	Transferred entry: 1.1.1.347
EC:1.1.2.1	Transferred entry: 1.1.5.3
EC:1.1.2.2	Mannitol dehydrogenase (cytochrome)
EC:1.1.2.3	L-lactate dehydrogenase (cytochrome)
EC:1.1.2.4	D-lactate dehydrogenase (cytochrome)
EC:1.1.2.5	D-lactate dehydrogenase (cytochrome c-553)
EC:1.1.2.6	Polyvinyl alcohol dehydrogenase (cytochrome)
